age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0
21,male,0
22,male,0
23,male,0
24,male,0
25,male,0
26,male,0
27,male,0
28,male,0
29,male,0
30,male,0
31,male,0
32,male,0
33,male,0
34,male,0
35,male,0
36,male,0
37,male,0
38,male,0
39,male,0
40,male,0
41,male,0
42,male,0
43,male,0
44,male,0
45,male,0
46,male,0
47,male,0
48,male,0
49,male,0
50,male,0
51,male,0
52,male,0
53,male,0
54,male,0
55,male,0
56,male,0
57,male,0
58,male,0
59,male,0
60,male,0
61,male,0
62,male,0
63,male,0
64,male,0
65,male,0
66,male,0
67,male,0
68,male,0
69,male,0
70,male,0
71,male,0
72,male,0
73,male,0
74,male,0
75,male,0
76,male,0
77,male,0
78,male,0
79,male,0
80,male,0
81,male,0
82,male,0
83,male,0
84,male,0
85,male,0
86,male,0
87,male,0
88,male,0
89,male,0
90,male,0
91,male,0
92,male,0
93,male,0
94,male,0
95,male,0
96,male,0
97,male,0
98,male,0
99,male,0
100,male,0
101,male,0
102,male,0
103,male,0
104,male,0
105,male,0
106,male,0
107,male,0
108,male,0
109,male,0
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.199976474
21,female,0.199976474
22,female,0.199976474
23,female,0.199976474
24,female,0.199976474
25,female,0.199976474
26,female,0.199976474
27,female,0.199976474
28,female,0.199976474
29,female,0.199976474
30,female,0.199976474
31,female,0.199976474
32,female,0.199976474
33,female,0.199976474
34,female,0.199976474
35,female,0.199976474
36,female,0.199976474
37,female,0.199976474
38,female,0.199976474
39,female,0.199976474
40,female,0.199976474
41,female,0.199976474
42,female,0.199976474
43,female,0.199976474
44,female,0.199976474
45,female,0.199976474
46,female,0.199976474
47,female,0.199976474
48,female,0.199976474
49,female,0.199976474
50,female,0.199976474
51,female,0.199976474
52,female,0.199976474
53,female,0.199976474
54,female,0.199976474
55,female,0.199976474
56,female,0.199976474
57,female,0.199976474
58,female,0.199976474
59,female,0.199976474
60,female,0.199976474
61,female,0.199976474
62,female,0.199976474
63,female,0.199976474
64,female,0.199976474
65,female,0.199976474
66,female,0.199976474
67,female,0.199976474
68,female,0.199976474
69,female,0.199976474
70,female,0.199976474
71,female,0.199976474
72,female,0.199976474
73,female,0.199976474
74,female,0.199976474
75,female,0.199976474
76,female,0.199976474
77,female,0.199976474
78,female,0.199976474
79,female,0.199976474
80,female,0.199976474
81,female,0.199976474
82,female,0.199976474
83,female,0.199976474
84,female,0.199976474
85,female,0.199976474
86,female,0.199976474
87,female,0.199976474
88,female,0.199976474
89,female,0.199976474
90,female,0.199976474
91,female,0.199976474
92,female,0.199976474
93,female,0.199976474
94,female,0.199976474
95,female,0.199976474
96,female,0.199976474
97,female,0.199976474
98,female,0.199976474
99,female,0.199976474
100,female,0.199976474
101,female,0.199976474
102,female,0.199976474
103,female,0.199976474
104,female,0.199976474
105,female,0.199976474
106,female,0.199976474
107,female,0.199976474
108,female,0.199976474
109,female,0.199976474
